T = 100;
m = 4;
V = 1;
R =  [[1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
         1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
         1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1]];
u =  [[1]
         [1]
         [1]
         [1]];
N = 2;
a =  [7 3];
p =  [[[0 3 3 0]
             [0 0 0 0]
             [2 1 0 1]
             [2 1 1 0]
             [0 0 0 0]
             [1 2 1 2]
             [2 3 2 2]]
         [[0 2 3 1]
             [1 2 1 1]
             [3 2 1 2]
             [0 0 0 0]
             [0 0 0 0]
             [0 0 0 0]
             [0 0 0 0]]];
l =  [[2 1 1 3 3 2 0]
         [3 3 0 0 0 0 0]];
