T = 100;
m = 4;
V = 1;
R =  [[1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
         1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
         1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1]];
u =  [[1]
         [1]
         [1]
         [1]];
N = 2;
a =  [5 5];
p =  [[[1 2 3 0]
             [3 1 3 1]
             [1 1 1 2]
             [0 1 2 0]
             [0 2 1 3]]
         [[1 0 2 1]
             [3 3 0 3]
             [1 3 1 0]
             [0 1 2 2]
             [1 1 2 0]]];
l =  [[3 0 3 1 0]
         [4 3 1 3 0]];
