T = 100;
m = 4;
V = 1;
R =  [[23 20 24 19 22 24 17 24 18 18 22 20 19 17 20 24 17 18 22 24 21 23 20 22 22
         17 23 21 18 22 21 19 20 18 19 20 21 17 17 18 21 19 19 23 24 17 22
         21 18 23 23 18 17 23 24 24 20 22 20 19 24 20 23 21 17 22 17 22 23
         22 24 18 17 24 22 21 19 21 18 21 18 23 22 17 24 23 24 20 23 17 19
         23 22 18 20 20 18 22 24 19 18]];
u =  [[1]
         [1]
         [1]
         [1]];
N = 39;
a =  [6 6 3 10 5 9 9 2 9 2 4 8 4 7 5 3 1 8 1 10 10 7 10 6 2 8 3 1 8 8 1 7 3 3 4
     1 1 4 1];
p =  [[[3 2 1 0]
             [1 3 0 3]
             [0 1 2 0]
             [0 3 1 1]
             [0 0 1 0]
             [3 1 1 3]
             [0 0 0 0]
             [0 0 0 0]
             [0 0 0 0]
             [0 0 0 0]]
         [[0 3 3 3]
             [2 3 2 2]
             [3 2 1 3]
             [1 3 0 2]
             [3 1 2 3]
             [3 2 3 0]
             [0 0 0 0]
             [0 0 0 0]
             [0 0 0 0]
             [0 0 0 0]]
         [[2 0 1 2]
             [1 2 1 2]
             [3 2 2 1]
             [0 0 0 0]
             [0 0 0 0]
             [0 0 0 0]
             [0 0 0 0]
             [0 0 0 0]
             [0 0 0 0]
             [0 0 0 0]]
         [[2 3 1 3]
             [3 0 0 0]
             [2 1 0 1]
             [2 3 0 0]
             [3 2 2 1]
             [2 0 0 0]
             [1 3 2 0]
             [1 1 1 0]
             [0 2 0 2]
             [1 3 1 3]]
         [[2 0 3 2]
             [1 0 2 0]
             [3 1 3 0]
             [2 0 3 3]
             [3 2 2 3]
             [0 0 0 0]
             [0 0 0 0]
             [0 0 0 0]
             [0 0 0 0]
             [0 0 0 0]]
         [[0 0 0 2]
             [0 3 2 1]
             [3 1 0 0]
             [3 2 2 0]
             [3 0 1 0]
             [1 1 2 2]
             [3 0 1 2]
             [1 3 2 2]
             [3 3 1 2]
             [0 0 0 0]]
         [[2 1 3 0]
             [0 3 1 1]
             [2 2 2 1]
             [0 3 1 2]
             [0 0 1 1]
             [3 0 1 3]
             [0 0 2 3]
             [0 0 0 0]
             [3 1 2 2]
             [0 0 0 0]]
         [[1 3 0 0]
             [3 0 2 3]
             [0 0 0 0]
             [0 0 0 0]
             [0 0 0 0]
             [0 0 0 0]
             [0 0 0 0]
             [0 0 0 0]
             [0 0 0 0]
             [0 0 0 0]]
         [[3 2 3 0]
             [0 0 2 0]
             [1 2 3 0]
             [0 2 3 2]
             [1 3 0 0]
             [2 0 0 2]
             [1 2 1 1]
             [3 2 1 0]
             [3 0 1 2]
             [0 0 0 0]]
         [[3 2 1 2]
             [2 1 1 0]
             [0 0 0 0]
             [0 0 0 0]
             [0 0 0 0]
             [0 0 0 0]
             [0 0 0 0]
             [0 0 0 0]
             [0 0 0 0]
             [0 0 0 0]]
         [[0 0 3 2]
             [1 1 1 2]
             [2 3 1 2]
             [2 3 1 3]
             [0 0 0 0]
             [0 0 0 0]
             [0 0 0 0]
             [0 0 0 0]
             [0 0 0 0]
             [0 0 0 0]]
         [[0 0 1 0]
             [2 2 1 3]
             [3 1 2 2]
             [3 2 3 2]
             [2 0 3 3]
             [1 2 0 2]
             [3 0 1 2]
             [0 0 0 0]
             [0 0 0 0]
             [0 0 0 0]]
         [[0 3 2 3]
             [2 2 2 3]
             [3 2 0 1]
             [2 2 0 2]
             [0 0 0 0]
             [0 0 0 0]
             [0 0 0 0]
             [0 0 0 0]
             [0 0 0 0]
             [0 0 0 0]]
         [[1 1 1 3]
             [1 3 0 0]
             [1 3 1 3]
             [2 0 2 1]
             [1 3 1 2]
             [2 3 0 2]
             [0 2 3 3]
             [0 0 0 0]
             [0 0 0 0]
             [0 0 0 0]]
         [[0 0 3 0]
             [3 0 1 0]
             [2 0 2 3]
             [3 2 2 2]
             [2 0 0 2]
             [0 0 0 0]
             [0 0 0 0]
             [0 0 0 0]
             [0 0 0 0]
             [0 0 0 0]]
         [[3 2 3 3]
             [2 1 1 3]
             [0 1 3 3]
             [0 0 0 0]
             [0 0 0 0]
             [0 0 0 0]
             [0 0 0 0]
             [0 0 0 0]
             [0 0 0 0]
             [0 0 0 0]]
         [[3 0 2 3]
             [0 0 0 0]
             [0 0 0 0]
             [0 0 0 0]
             [0 0 0 0]
             [0 0 0 0]
             [0 0 0 0]
             [0 0 0 0]
             [0 0 0 0]
             [0 0 0 0]]
         [[3 2 0 2]
             [3 3 1 0]
             [2 2 2 1]
             [3 3 2 3]
             [0 3 3 2]
             [3 1 1 3]
             [2 2 3 3]
             [1 2 1 1]
             [0 0 0 0]
             [0 0 0 0]]
         [[1 0 0 0]
             [0 0 0 0]
             [0 0 0 0]
             [0 0 0 0]
             [0 0 0 0]
             [0 0 0 0]
             [0 0 0 0]
             [0 0 0 0]
             [0 0 0 0]
             [0 0 0 0]]
         [[1 0 1 2]
             [2 0 0 3]
             [1 3 2 1]
             [1 1 2 3]
             [0 1 2 0]
             [3 3 2 0]
             [3 0 2 2]
             [1 1 1 0]
             [3 1 3 2]
             [2 3 2 1]]
         [[2 0 0 1]
             [1 2 1 2]
             [1 0 1 3]
             [2 2 1 3]
             [2 0 2 0]
             [0 0 1 0]
             [0 1 3 0]
             [1 0 0 2]
             [3 2 2 0]
             [1 3 2 0]]
         [[0 1 1 3]
             [3 2 2 1]
             [3 1 2 1]
             [2 0 3 0]
             [0 3 3 2]
             [3 2 1 2]
             [1 2 2 3]
             [0 0 0 0]
             [0 0 0 0]
             [0 0 0 0]]
         [[1 3 3 0]
             [1 1 0 1]
             [2 3 1 0]
             [3 2 1 1]
             [1 3 1 2]
             [3 3 3 2]
             [3 0 2 3]
             [3 2 0 2]
             [3 3 1 1]
             [0 2 0 0]]
         [[0 3 3 3]
             [2 1 0 2]
             [1 0 2 1]
             [3 2 2 1]
             [0 2 0 0]
             [0 2 1 2]
             [0 0 0 0]
             [0 0 0 0]
             [0 0 0 0]
             [0 0 0 0]]
         [[1 1 3 2]
             [3 1 3 2]
             [0 0 0 0]
             [0 0 0 0]
             [0 0 0 0]
             [0 0 0 0]
             [0 0 0 0]
             [0 0 0 0]
             [0 0 0 0]
             [0 0 0 0]]
         [[1 0 3 0]
             [3 2 3 2]
             [2 3 3 3]
             [2 3 0 1]
             [0 3 0 0]
             [3 1 0 1]
             [0 0 1 1]
             [3 3 1 2]
             [0 0 0 0]
             [0 0 0 0]]
         [[3 1 3 3]
             [0 3 3 2]
             [3 2 3 3]
             [0 0 0 0]
             [0 0 0 0]
             [0 0 0 0]
             [0 0 0 0]
             [0 0 0 0]
             [0 0 0 0]
             [0 0 0 0]]
         [[1 2 1 3]
             [0 0 0 0]
             [0 0 0 0]
             [0 0 0 0]
             [0 0 0 0]
             [0 0 0 0]
             [0 0 0 0]
             [0 0 0 0]
             [0 0 0 0]
             [0 0 0 0]]
         [[1 2 1 2]
             [1 3 3 3]
             [2 2 2 1]
             [1 3 1 1]
             [2 3 3 2]
             [2 2 1 3]
             [2 3 0 0]
             [3 2 0 1]
             [0 0 0 0]
             [0 0 0 0]]
         [[0 1 2 3]
             [0 2 0 3]
             [2 3 0 2]
             [0 0 2 1]
             [0 0 2 1]
             [3 1 0 0]
             [0 0 1 2]
             [1 3 2 0]
             [0 0 0 0]
             [0 0 0 0]]
         [[0 3 1 3]
             [0 0 0 0]
             [0 0 0 0]
             [0 0 0 0]
             [0 0 0 0]
             [0 0 0 0]
             [0 0 0 0]
             [0 0 0 0]
             [0 0 0 0]
             [0 0 0 0]]
         [[0 0 1 3]
             [2 2 0 3]
             [3 0 2 2]
             [2 3 0 1]
             [0 1 3 2]
             [3 2 3 3]
             [3 0 3 2]
             [0 0 0 0]
             [0 0 0 0]
             [0 0 0 0]]
         [[2 0 0 0]
             [1 1 3 3]
             [1 3 2 3]
             [0 0 0 0]
             [0 0 0 0]
             [0 0 0 0]
             [0 0 0 0]
             [0 0 0 0]
             [0 0 0 0]
             [0 0 0 0]]
         [[0 2 2 1]
             [2 1 2 3]
             [1 1 2 0]
             [0 0 0 0]
             [0 0 0 0]
             [0 0 0 0]
             [0 0 0 0]
             [0 0 0 0]
             [0 0 0 0]
             [0 0 0 0]]
         [[2 1 2 0]
             [0 2 3 3]
             [3 3 1 3]
             [3 2 0 3]
             [0 0 0 0]
             [0 0 0 0]
             [0 0 0 0]
             [0 0 0 0]
             [0 0 0 0]
             [0 0 0 0]]
         [[1 3 0 1]
             [0 0 0 0]
             [0 0 0 0]
             [0 0 0 0]
             [0 0 0 0]
             [0 0 0 0]
             [0 0 0 0]
             [0 0 0 0]
             [0 0 0 0]
             [0 0 0 0]]
         [[1 2 1 0]
             [0 0 0 0]
             [0 0 0 0]
             [0 0 0 0]
             [0 0 0 0]
             [0 0 0 0]
             [0 0 0 0]
             [0 0 0 0]
             [0 0 0 0]
             [0 0 0 0]]
         [[1 3 0 2]
             [1 0 2 0]
             [2 1 3 3]
             [0 1 3 3]
             [0 0 0 0]
             [0 0 0 0]
             [0 0 0 0]
             [0 0 0 0]
             [0 0 0 0]
             [0 0 0 0]]
         [[2 1 3 3]
             [0 0 0 0]
             [0 0 0 0]
             [0 0 0 0]
             [0 0 0 0]
             [0 0 0 0]
             [0 0 0 0]
             [0 0 0 0]
             [0 0 0 0]
             [0 0 0 0]]];
l =  [[3 4 2 1 0 0 0 0 0 0]
         [4 4 2 1 2 0 0 0 0 0]
         [1 0 0 0 0 0 0 0 0 0]
         [2 0 1 4 3 4 2 4 1 0]
         [1 2 2 3 0 0 0 0 0 0]
         [2 0 4 2 0 3 3 3 0 0]
         [1 1 3 2 0 1 3 1 0 0]
         [3 0 0 0 0 0 0 0 0 0]
         [4 3 0 3 0 0 2 1 0 0]
         [4 0 0 0 0 0 0 0 0 0]
         [4 2 2 0 0 0 0 0 0 0]
         [0 3 0 4 1 4 3 0 0 0]
         [2 3 0 0 0 0 0 0 0 0]
         [0 3 2 1 2 2 0 0 0 0]
         [2 2 2 2 0 0 0 0 0 0]
         [4 4 0 0 0 0 0 0 0 0]
         [0 0 0 0 0 0 0 0 0 0]
         [2 3 1 0 0 3 1 0 0 0]
         [0 0 0 0 0 0 0 0 0 0]
         [4 2 3 4 3 2 0 3 2 0]
         [0 2 3 3 4 1 0 4 4 0]
         [0 3 3 2 1 1 0 0 0 0]
         [0 4 4 0 0 4 2 0 3 0]
         [1 1 4 3 3 0 0 0 0 0]
         [3 0 0 0 0 0 0 0 0 0]
         [3 1 0 2 4 4 1 0 0 0]
         [0 3 0 0 0 0 0 0 0 0]
         [0 0 0 0 0 0 0 0 0 0]
         [2 0 2 4 1 3 4 0 0 0]
         [4 4 1 1 3 1 0 0 0 0]
         [0 0 0 0 0 0 0 0 0 0]
         [0 1 0 1 0 4 0 0 0 0]
         [0 2 0 0 0 0 0 0 0 0]
         [4 2 0 0 0 0 0 0 0 0]
         [1 1 3 0 0 0 0 0 0 0]
         [0 0 0 0 0 0 0 0 0 0]
         [0 0 0 0 0 0 0 0 0 0]
         [0 1 0 0 0 0 0 0 0 0]
         [0 0 0 0 0 0 0 0 0 0]];
